regulador	estado_1	regulon	estado_2	FT
Solyc00g024680	0	Solyc09g098030	1	Dof
Solyc01g009170	0	Solyc09g082650	1	EIL
Solyc01g094360	0	Solyc09g082650	1	MYB
Solyc01g102300	0	Solyc06g007910	1	bHLH
Solyc02g071730	0	Solyc09g082650	1	MIKC_MADS
Solyc02g082040	0	Solyc09g082650	1	MYB
Solyc02g083950	0	Solyc07g052430	1	WOX
Solyc02g089190	0	Solyc09g082650	1	MYB
Solyc02g090220	0	Solyc09g098030	1	Dof
Solyc03g005520	0	Solyc09g098030	1	ERF
Solyc03g093550	0	Solyc09g098030	1	ERF
Solyc03g096350	0	Solyc02g068280	1	MYB
Solyc03g096350	0	Solyc03g113560	2	MYB
Solyc03g112930	0	Solyc07g064500	1	Dof
Solyc03g112930	0	Solyc12g015770	1	Dof
Solyc03g114720	0	Solyc07g064500	1	bHLH
Solyc03g115940	0	Solyc09g082650	1	Dof
Solyc03g123500	0	Solyc09g098030	1	ERF
Solyc04g005280	0	Solyc07g064500	1	bHLH
Solyc04g008380	0	Solyc02g068280	1	BBR-BPC
Solyc04g008380	0	Solyc05g055220	1	BBR-BPC
Solyc04g008380	0	Solyc08g083240	1	BBR-BPC
Solyc04g056310	0	Solyc09g082650	1	MYB
Solyc04g070960	0	Solyc09g082650	1	Dof
Solyc04g074170	0	Solyc09g082650	1	MYB
Solyc04g077210	0	Solyc02g068280	1	TALE
Solyc04g077210	0	Solyc05g055220	1	TALE
Solyc04g081170	0	Solyc02g068280	1	BBR-BPC
Solyc04g081170	0	Solyc05g055220	1	BBR-BPC
Solyc04g081170	0	Solyc09g098030	1	BBR-BPC
Solyc05g014290	0	Solyc09g082650	1	MYB
Solyc05g053500	0	Solyc02g080940	1	GATA
Solyc05g055480	0	Solyc02g080940	1	NAC
Solyc05g055500	0	Solyc02g080940	1	C2H2
Solyc05g055500	0	Solyc08g083240	1	C2H2
Solyc05g056620	0	Solyc09g082650	1	MIKC_MADS
Solyc06g009710	0	Solyc09g082650	1	MYB
Solyc06g050520	0	Solyc02g080940	1	ERF
Solyc06g062520	0	Solyc09g098030	1	Dof
Solyc06g065410	0	Solyc02g080940	1	NAC
Solyc06g071480	0	Solyc07g064500	1	Dof
Solyc06g071480	0	Solyc12g015770	1	Dof
Solyc06g072310	0	Solyc05g055220	1	HD-ZIP
Solyc06g075140	0	Solyc09g005310	1	GATA
Solyc06g076030	0	Solyc09g098030	1	Dof
Solyc07g045030	0	Solyc02g080940	1	NAC
Solyc07g062840	0	Solyc02g080940	1	NAC
Solyc08g066510	0	Solyc09g005310	1	GATA
Solyc08g080150	0	Solyc09g082650	1	TCP
Solyc09g011780	0	Solyc02g068280	1	MYB
Solyc09g082500	0	Solyc07g052430	1	CPP
Solyc09g090130	0	Solyc08g083240	1	MYB
Solyc10g044680	0	Solyc09g082650	1	MYB
Solyc10g055410	0	Solyc09g082650	1	MYB
Solyc10g077110	0	Solyc02g068280	1	C2H2
Solyc10g077110	0	Solyc05g055220	1	C2H2
Solyc10g079050	0	Solyc05g055220	1	bHLH
Solyc11g008560	0	Solyc02g068280	1	AP2
Solyc11g008560	0	Solyc05g055220	1	AP2
Solyc11g008560	0	Solyc07g064500	1	AP2
Solyc11g008560	0	Solyc08g083240	1	AP2
Solyc11g008560	0	Solyc09g098030	1	AP2
Solyc11g010270	0	Solyc09g098030	1	HD-ZIP
Solyc11g011050	0	Solyc09g082650	1	MYB
Solyc11g011260	0	Solyc02g068280	1	GRAS
Solyc11g011260	0	Solyc02g080940	1	GRAS
Solyc11g011260	0	Solyc05g055220	1	GRAS
Solyc12g099370	0	Solyc02g080940	1	GATA
