regulador	estado_1	regulon	estado_2	FT
Solyc00g024680	0	Solyc01g097510	1	Dof
Solyc00g024680	0	Solyc01g108910	1	Dof
Solyc00g024680	0	Solyc02g069090	1	Dof
Solyc00g024680	0	Solyc04g076380	1	Dof
Solyc00g024680	0	Solyc06g074220	1	Dof
Solyc00g024680	0	Solyc06g084440	1	Dof
Solyc00g024680	0	Solyc08g080410	1	Dof
Solyc00g024680	0	Solyc10g044780	1	Dof
Solyc01g005060	0	Solyc01g098390	1	C2H2
Solyc01g005060	0	Solyc03g082620	1	C2H2
Solyc01g005060	0	Solyc03g112700	1	C2H2
Solyc01g005060	0	Solyc06g074220	1	C2H2
Solyc01g005060	0	Solyc08g077530	1	C2H2
Solyc01g005060	0	Solyc12g056220	1	C2H2
Solyc01g005630	0	Solyc01g005250	1	ERF
Solyc01g005630	0	Solyc02g069090	1	ERF
Solyc01g005630	0	Solyc06g008330	1	ERF
Solyc01g005630	0	Solyc06g084130	1	ERF
Solyc01g005630	0	Solyc10g049850	1	ERF
Solyc01g005630	0	Solyc11g068550	1	ERF
Solyc01g005630	0	Solyc12g088900	1	ERF
Solyc01g009860	0	Solyc01g108280	1	NAC
Solyc01g009860	0	Solyc10g044780	1	NAC
Solyc01g065980	0	Solyc01g005250	1	ERF
Solyc01g065980	0	Solyc01g108910	1	ERF
Solyc01g065980	0	Solyc12g088900	1	ERF
Solyc01g067540	0	Solyc01g005250	1	ERF
Solyc01g067540	0	Solyc08g076930	2	ERF
Solyc01g067540	0	Solyc11g068550	1	ERF
Solyc01g067540	0	Solyc12g088900	1	ERF
Solyc01g079480	0	Solyc02g080630	1	bZIP
Solyc01g079480	0	Solyc06g074220	1	bZIP
Solyc01g079480	0	Solyc06g084130	1	bZIP
Solyc01g079480	0	Solyc10g007600	1	bZIP
Solyc01g079480	0	Solyc11g011910	1	bZIP
Solyc01g087990	0	Solyc06g009750	1	MIKC_MADS
Solyc01g087990	0	Solyc06g067970	1	MIKC_MADS
Solyc01g090560	0	Solyc06g008330	1	ERF
Solyc01g090560	0	Solyc11g068550	1	ERF
Solyc01g090560	0	Solyc12g005150	1	ERF
Solyc01g090560	0	Solyc12g088900	1	ERF
Solyc01g090790	0	Solyc01g097510	1	bHLH
Solyc01g090790	0	Solyc11g073200	1	bHLH
Solyc01g091630	0	Solyc04g078920	1	HD-ZIP
Solyc01g093960	0	Solyc08g075450	1	MIKC_MADS
Solyc01g094360	0	Solyc02g080630	1	MYB
Solyc01g094360	0	Solyc03g082620	1	MYB
Solyc01g094360	0	Solyc05g053040	1	MYB
Solyc01g094360	0	Solyc06g031690	1	MYB
Solyc01g094360	0	Solyc08g075450	1	MYB
Solyc01g094360	0	Solyc08g077530	1	MYB
Solyc01g094360	0	Solyc08g078250	1	MYB
Solyc01g094360	0	Solyc09g092520	1	MYB
Solyc01g095460	0	Solyc01g105710	1	bZIP
Solyc01g095460	0	Solyc02g080630	1	bZIP
Solyc01g095460	0	Solyc05g015390	1	bZIP
Solyc01g095460	0	Solyc06g084130	1	bZIP
Solyc01g095460	0	Solyc10g007600	1	bZIP
Solyc01g095460	0	Solyc11g011910	1	bZIP
Solyc01g096050	0	Solyc01g097510	1	bHLH
Solyc01g096050	0	Solyc05g015390	1	bHLH
Solyc01g097330	0	Solyc02g080630	1	bZIP
Solyc01g097330	0	Solyc06g084130	1	bZIP
Solyc01g102300	0	Solyc01g098390	1	bHLH
Solyc01g102300	0	Solyc11g073200	1	bHLH
Solyc01g102740	0	Solyc01g108280	1	NAC
Solyc01g105230	0	Solyc02g080630	1	CAMTA
Solyc01g108080	0	Solyc01g098390	1	bZIP
Solyc01g108080	0	Solyc04g018110	1	bZIP
Solyc01g108080	0	Solyc05g015390	1	bZIP
Solyc01g108080	0	Solyc06g074940	1	bZIP
Solyc01g108080	0	Solyc12g014400	1	bZIP
Solyc01g108240	0	Solyc01g005250	1	ERF
Solyc01g108240	0	Solyc01g108910	1	ERF
Solyc01g108240	0	Solyc06g009750	1	ERF
Solyc01g108240	0	Solyc11g068550	1	ERF
Solyc01g108240	0	Solyc12g088900	1	ERF
Solyc01g109880	0	Solyc02g080630	1	bZIP
Solyc01g109880	0	Solyc03g111010	1	bZIP
Solyc01g109880	0	Solyc04g010090	1	bZIP
Solyc01g109880	0	Solyc06g074220	1	bZIP
Solyc01g109880	0	Solyc06g084130	1	bZIP
Solyc01g109880	0	Solyc10g007600	1	bZIP
Solyc01g109880	0	Solyc11g011910	1	bZIP
Solyc02g036370	0	Solyc01g108910	1	MYB_related
Solyc02g036430	0	Solyc01g108280	1	NAC
Solyc02g036430	0	Solyc06g074220	1	NAC
Solyc02g036430	0	Solyc10g044780	1	NAC
Solyc02g036430	0	Solyc10g045620	1	NAC
Solyc02g062950	0	Solyc02g080630	1	bZIP
Solyc02g062950	0	Solyc06g074220	1	bZIP
Solyc02g062950	0	Solyc06g084130	1	bZIP
Solyc02g062950	0	Solyc10g007600	1	bZIP
Solyc02g062950	0	Solyc11g011910	1	bZIP
Solyc02g067310	0	Solyc06g074220	1	ZF-HD
Solyc02g068200	0	Solyc05g018130	1	TCP
Solyc02g068200	0	Solyc07g006280	1	TCP
Solyc02g068200	0	Solyc10g007600	1	TCP
Solyc02g071730	0	Solyc04g078920	1	MIKC_MADS
Solyc02g072000	0	Solyc05g015390	1	HSF
Solyc02g077360	0	Solyc01g005250	1	ERF
Solyc02g077360	0	Solyc03g082620	1	ERF
Solyc02g077360	0	Solyc03g112700	1	ERF
Solyc02g077360	0	Solyc10g049850	1	ERF
Solyc02g077360	0	Solyc11g068550	1	ERF
Solyc02g077360	0	Solyc12g088900	1	ERF
Solyc02g077560	0	Solyc05g053040	1	ARF
Solyc02g077560	0	Solyc06g067970	1	ARF
Solyc02g077840	0	Solyc01g005250	1	ERF
Solyc02g077840	0	Solyc01g099800	1	ERF
Solyc02g077840	0	Solyc01g108910	1	ERF
Solyc02g079810	0	Solyc01g098390	1	bHLH
Solyc02g079810	0	Solyc01g105710	1	bHLH
Solyc02g082040	0	Solyc02g080630	1	MYB
Solyc02g082040	0	Solyc05g053040	1	MYB
Solyc02g082040	0	Solyc06g031690	1	MYB
Solyc02g082040	0	Solyc08g075450	1	MYB
Solyc02g082040	0	Solyc08g078250	1	MYB
Solyc02g082040	0	Solyc09g092520	1	MYB
Solyc02g082040	0	Solyc10g074790	1	MYB
Solyc02g083950	0	Solyc01g108270	1	WOX
Solyc02g083950	0	Solyc11g007940	1	WOX
