regulador	V2	regulado	especie	V5	FT
Solyc01g079260	regulates	Solyc06g060490	Solanum lycopersicum	motif	WRKY
Solyc02g079810	regulates	Solyc06g060490	Solanum lycopersicum	motif	bHLH
Solyc02g080890	regulates	Solyc06g060490	Solanum lycopersicum	motif	WRKY
Solyc06g060490	regulates	Solyc00g014970	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc00g019990	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc00g020960	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc00g022100	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc00g025520	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc00g027130	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc00g033880	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc00g036530	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc00g055970	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc00g062710	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc00g090120	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc00g094530	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc00g094540	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc00g104320	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc00g129670	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc00g207960	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc01g005690	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc01g005730	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc01g005970	Solanum lycopersicum	motif, motif_CE	bZIP
