regulador	V2	regulado	especie	V5	FT
Sopen00g003270	regulates	Sopen02g037700	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001080	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001300	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001320	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001450	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001460	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001680	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001690	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001730	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001790	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001810	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001860	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g001870	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002010	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002020	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002040	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002070	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002080	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002110	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002120	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002140	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002150	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002220	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002230	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002250	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002280	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002300	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002440	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002450	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002460	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002470	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002480	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002490	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002500	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g002510	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g003550	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g003780	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g003840	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g003890	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g004040	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g004270	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g004470	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g004580	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g004680	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g004780	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g004840	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g004850	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g005170	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g005190	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g005200	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g005680	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g005750	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g005770	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g006020	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g006040	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g006370	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g006380	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g006530	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g006670	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g006730	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g006750	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g006980	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g006990	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007020	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007060	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007170	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007250	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007270	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007420	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007440	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007490	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007610	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007640	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007660	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g007750	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008060	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008070	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008210	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008300	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008310	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008320	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008340	Solanum pennellii	motif	none
