regulador	V2	regulado	especie	V5	FT
Solyc01g067540	regulates	Solyc08g076930	Solanum lycopersicum	motif	ERF
Solyc03g005520	regulates	Solyc08g076930	Solanum lycopersicum	motif	ERF
Solyc03g093550	regulates	Solyc08g076930	Solanum lycopersicum	motif	ERF
Solyc03g112430	regulates	Solyc08g076930	Solanum lycopersicum	motif, motif_CE	LBD
Solyc04g008380	regulates	Solyc08g076930	Solanum lycopersicum	motif	BBR-BPC
Solyc04g009180	regulates	Solyc08g076930	Solanum lycopersicum	motif, motif_CE	TCP
Solyc04g081170	regulates	Solyc08g076930	Solanum lycopersicum	motif	BBR-BPC
Solyc06g050520	regulates	Solyc08g076930	Solanum lycopersicum	motif	ERF
Solyc06g051840	regulates	Solyc08g076930	Solanum lycopersicum	motif	ERF
Solyc06g062520	regulates	Solyc08g076930	Solanum lycopersicum	motif	Dof
Solyc06g065820	regulates	Solyc08g076930	Solanum lycopersicum	motif	ERF
Solyc06g070900	regulates	Solyc08g076930	Solanum lycopersicum	motif, motif_CE	TCP
Solyc06g082430	regulates	Solyc08g076930	Solanum lycopersicum	motif	LBD
Solyc08g048390	regulates	Solyc08g076930	Solanum lycopersicum	motif	TCP
Solyc08g076930	regulates	Solyc00g006870	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc00g009040	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc00g118690	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc00g154480	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc00g249200	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g007700	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc01g007720	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc01g008380	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g010410	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g011170	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g014010	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g016530	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g016860	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g017500	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc01g017640	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g017810	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g017830	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g020310	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g056200	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g060350	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g065570	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g066290	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g066640	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc01g067040	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g067280	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g073950	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc01g074040	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g080360	Solanum lycopersicum	FunTFBS, motif	bHLH
Solyc08g076930	regulates	Solyc01g081130	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g087890	Solanum lycopersicum	FunTFBS, motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc01g088310	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g090080	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g091110	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc01g091650	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g094390	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g094580	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc01g096570	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc01g098220	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc01g098280	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g099660	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g103710	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc01g111430	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc02g032000	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc02g032450	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc02g036330	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc08g076930	regulates	Solyc02g061740	Solanum lycopersicum	motif	bHLH
Solyc08g076930	regulates	Solyc02g062020	Solanum lycopersicum	motif	bHLH
