regulador	V2	regulado	especie	V5	FT
Sopen01g029490	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen01g037760	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen02g038930	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen03g001540	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen03g024410	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen03g031510	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen04g003530	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen04g004310	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen04g034790	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen06g016040	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen06g017870	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen06g024300	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen06g027180	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen08g010620	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g001440	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g001600	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g001720	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g001820	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g002310	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g005540	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g005720	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g005830	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g006030	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g006760	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g011630	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g011770	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g014120	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g014360	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g014400	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g014410	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g014420	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen00g014430	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g004990	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g009210	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g010300	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g010990	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g011140	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g011580	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g016110	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g018430	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g023900	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g024880	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g026970	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g026990	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g028010	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g028290	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g029070	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g032740	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g033520	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g036850	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g037420	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g038390	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g040300	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g041800	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g041850	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g042580	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g043090	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g044540	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g045130	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g045500	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g046050	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g048770	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g051240	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen01g054270	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g001320	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g005190	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g006410	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g008520	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g009540	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g010700	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g010720	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g012790	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g015110	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g015370	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g015870	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g015880	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g018320	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g018540	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g020110	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g021240	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g021570	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g022510	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g022520	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g022950	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g022990	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g023000	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g024090	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g024160	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g024280	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g024760	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g026550	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g028120	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g028210	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g028640	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g029720	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g030200	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g030380	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g030910	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g032690	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g032980	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g032990	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g033320	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g035170	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g036100	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g036400	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g038060	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen02g039180	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g002700	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g003720	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g003770	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g004040	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g004270	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g005050	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g009130	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g009830	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g010000	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g010800	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g013460	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g015590	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g016250	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g017010	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g020990	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g022510	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g027250	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g028140	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g031860	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g033300	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g033850	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g034450	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g034800	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g035320	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g035910	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g036030	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g036490	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g036680	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g036910	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g037180	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g037310	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g037980	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g038840	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g038920	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g039360	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g039420	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen03g039630	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g002220	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g003870	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g007450	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g007930	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g008140	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g008150	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g012010	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g016560	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g017740	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g018420	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g022360	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g023470	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g023480	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g024420	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g025020	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g026770	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g026930	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g027810	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g029140	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g029180	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g030110	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g031450	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g031510	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g031520	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen04g033610	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g003810	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g004870	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g006280	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g006870	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g009510	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g010680	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g012670	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g013900	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g014240	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g014760	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g015380	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g015890	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g016060	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g017160	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g019760	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g020000	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g021080	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g023630	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g023640	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g025420	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g025890	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g029210	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen05g031440	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g001360	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g004750	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g006160	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g010720	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g011850	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g015130	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g016040	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g017970	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g018910	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g019050	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g019330	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g021340	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g021350	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g023050	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g023130	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g024210	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g025410	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g027500	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g029070	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g029420	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g032250	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen06g032690	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g001730	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g002760	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g004670	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g006930	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g009380	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g009450	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g009490	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g012510	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g014710	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g015720	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g016310	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g018180	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g021360	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g022000	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g023460	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g025000	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g026250	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g026910	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g029020	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g029210	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g029850	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g032410	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g032550	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g034260	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen07g034280	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g001320	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g001370	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g001650	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g003640	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g003730	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g004010	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g004690	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g006120	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g007290	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g014540	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g017930	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g020090	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g020550	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g022290	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g023800	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g023850	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g024560	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g024660	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g024890	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g024970	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g025050	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g026670	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen08g027170	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g001020	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g002670	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g003190	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g004480	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g005890	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g008410	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g010640	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g011210	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g012940	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g013550	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g016050	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g022900	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g023680	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g024080	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g027930	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g033420	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g033430	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g034050	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g034990	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen09g036500	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g002240	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g002390	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g003430	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g007090	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g007570	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g007730	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g011530	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g012670	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g013670	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g014770	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g016890	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g017840	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g018640	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g020440	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g020890	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g021250	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g022400	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g022520	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g023270	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g023680	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g027160	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g027450	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g029490	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g030450	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g031680	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen10g031850	Solanum pennellii	motif	none
