regulador	V2	regulado	especie	V5	FT
Solyc01g090790	regulates	Solyc04g009440	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc01g096050	regulates	Solyc04g009440	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc02g036370	regulates	Solyc04g009440	Solanum lycopersicum	motif	MYB_related
Solyc02g093280	regulates	Solyc04g009440	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc03g005990	regulates	Solyc04g009440	Solanum lycopersicum	FunTFBS, motif, motif_CE	BES1
Solyc03g098320	regulates	Solyc04g009440	Solanum lycopersicum	motif	MYB_related
Solyc03g111590	regulates	Solyc04g009440	Solanum lycopersicum	motif	C2H2
Solyc04g008380	regulates	Solyc04g009440	Solanum lycopersicum	motif	BBR-BPC
Solyc04g077210	regulates	Solyc04g009440	Solanum lycopersicum	motif	TALE
Solyc04g082480	regulates	Solyc04g009440	Solanum lycopersicum	FunTFBS, motif	Nin-like
Solyc09g057710	regulates	Solyc04g009440	Solanum lycopersicum	motif, motif_CE	bHLH
Solyc10g084370	regulates	Solyc04g009440	Solanum lycopersicum	motif	MYB_related
Solyc11g011260	regulates	Solyc04g009440	Solanum lycopersicum	motif	GRAS
