regulador	regulon	especiaA	especieB	V5	V6	FT
Sopen06g016660	Solyc06g050930	TomatoPennelli	tomato	15964	1	none
Solyc08g077790	Sopen08g026300	tomato	TomatoPennelli	16224	2	none
Sopen05g001920	Solyc05g005890	TomatoPennelli	tomato	16899	*	none
Sopen01g004530	Solyc01g009040	TomatoPennelli	tomato	17077	1	none
Solyc07g007870	Sopen07g003770	tomato	TomatoPennelli	17194	2	none
Sopen07g003440	Solyc07g007370	TomatoPennelli	tomato	17451	1	none
Sopen06g027830	Solyc06g071540	TomatoPennelli	tomato	17783	2	none
Solyc02g078900	Sopen02g023710	tomato	TomatoPennelli	18113	1	none
Solyc01g104080	Sopen01g046490	tomato	TomatoPennelli	18229	2	none
Sopen05g029280	Solyc05g050800	TomatoPennelli	tomato	18344	1	none
Sopen07g034230	Solyc07g066040	TomatoPennelli	tomato	18568	1	none
Sopen06g026870	Solyc06g069570	TomatoPennelli	tomato	18585	1	none
Sopen01g044930	Solyc01g102490	TomatoPennelli	tomato	18693	1	none
Sopen02g018960	Solyc02g069800	TomatoPennelli	tomato	18752	2	none
Solyc06g053760	Sopen06g018880	tomato	TomatoPennelli	18900	1	none
Sopen01g049540	Solyc01g107290	TomatoPennelli	tomato	18986	1	none
Sopen08g018130	Solyc08g062610	TomatoPennelli	tomato	19746	1	none
Sopen08g018080	Solyc08g062610	TomatoPennelli	tomato	19746	1	none
Sopen09g033030	Solyc09g090120	TomatoPennelli	tomato	19994	1	none
Solyc10g008600	Sopen10g004420	tomato	TomatoPennelli	20043	1	none
Sopen06g028400	Solyc06g072110	TomatoPennelli	tomato	20128	1	none
Sopen06g026460	Solyc06g069190	TomatoPennelli	tomato	20295	1	none
Sopen10g013470	Solyc10g044780	TomatoPennelli	tomato	20832	1	none
Sopen11g002700	Solyc11g006770	TomatoPennelli	tomato	21093	1	none
Solyc05g051070	Sopen05g029520	tomato	TomatoPennelli	21186	1	none
Solyc08g080410	Sopen08g028740	tomato	TomatoPennelli	21689	1	none
Sopen09g013030	Solyc09g020140	TomatoPennelli	tomato	21890	1	none
Sopen01g047260	Solyc01g104740	TomatoPennelli	tomato	22717	1	none
Sopen06g022320	Solyc06g062860	TomatoPennelli	tomato	23388	1	none
Sopen07g023440	Solyc07g044880	TomatoPennelli	tomato	23707	1	none
Solyc03g115930	Sopen03g034930	tomato	TomatoPennelli	23752	1	none
Solyc12g098950	Sopen12g033700	tomato	TomatoPennelli	23756	1	none
Sopen03g026190	Solyc03g096090	TomatoPennelli	tomato	23837	1	none
Solyc11g068710	Sopen11g027420	tomato	TomatoPennelli	23839	1	none
Solyc12g088370	Sopen12g030350	tomato	TomatoPennelli	24104	1	none
Solyc06g074770	Sopen06g031210	tomato	TomatoPennelli	24143	1	none
Sopen07g023090	Solyc07g043510	TomatoPennelli	tomato	24277	1	none
Sopen06g028100	Solyc06g071810	TomatoPennelli	tomato	24287	1	none
Sopen06g023970	Solyc06g065480	TomatoPennelli	tomato	24371	1	none
Solyc06g075690	Sopen06g032080	tomato	TomatoPennelli	24446	1	none
Solyc09g090730	Sopen09g033670	tomato	TomatoPennelli	24452	1	none
