Gen_a	Gen_b	Ortholog_Status	Species_with_Ortholog	Hormone	Duplicated_Ortholog
Solyc01g103570	Capang01g004398	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g103570	Capana08g001831	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g103570	PGSC0003DMP400043214\tPGSC0003DMT400064124	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g103570	SLYcer01g07298	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc11g007940	PGSC0003DMP400047530\tPGSC0003DMT400070306	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc11g007940	PGSC0003DMP400047529\tPGSC0003DMT400070305	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc11g007940	Capana12g002410	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc11g007940	SLYcer11g00402	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc11g007940	Sopen11g003810	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc12g014400	Capana03g001401	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc12g014400	Sopen12g007250	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc12g014400	SPI12g00921	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc12g014400	SLYcer12g00869	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc06g071770	SPI06g04587	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc06g071770	PGSC0003DMP400047024\tPGSC0003DMT400069639	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc06g071770	Capang06g000867	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g071770	Capana06g000925	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc03g112700	SLYcer03g04451	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc03g112700	Capana03g001154	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc03g112700	Capang03g001109	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc03g112700	PGSC0003DMP400031540\tPGSC0003DMT400046621	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc03g112700	Sopen03g031780	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
