regulador	regulacion	regulon	especie	type	FT
Sopen01g037760	regulates	Sopen08g031430	Solanum pennellii	motif	MIKC_MADS
Sopen02g025760	regulates	Sopen08g031430	Solanum pennellii	motif	TALE
Sopen02g034910	regulates	Sopen08g031430	Solanum pennellii	motif	Dof
Sopen03g040210	regulates	Sopen08g031430	Solanum pennellii	motif	Dof
Sopen04g003530	regulates	Sopen08g031430	Solanum pennellii	motif	BBR-BPC
Sopen04g034790	regulates	Sopen08g031430	Solanum pennellii	motif	BBR-BPC
Sopen05g033950	regulates	Sopen08g031430	Solanum pennellii	motif	C2H2
Sopen06g022000	regulates	Sopen08g031430	Solanum pennellii	motif	Dof
Sopen10g028790	regulates	Sopen08g031430	Solanum pennellii	motif	C2H2
Sopen11g006040	regulates	Sopen08g031430	Solanum pennellii	motif	GRAS
Sopen02g016410	regulates	Sopen07g032700	Solanum pennellii	motif	Dof
Sopen02g024580	regulates	Sopen07g032700	Solanum pennellii	motif	bHLH
Sopen03g032010	regulates	Sopen07g032700	Solanum pennellii	motif	Dof
Sopen03g033800	regulates	Sopen07g032700	Solanum pennellii	motif	bHLH
Sopen04g032440	regulates	Sopen07g032700	Solanum pennellii	motif	bZIP
Sopen06g029270	regulates	Sopen07g032700	Solanum pennellii	motif	WOX
Sopen09g004230	regulates	Sopen07g032700	Solanum pennellii	motif	bZIP
Sopen10g031850	regulates	Sopen07g032700	Solanum pennellii	motif	bZIP
Sopen01g044750	regulates	Sopen06g002760	Solanum pennellii	motif	bHLH
Sopen02g020720	regulates	Sopen06g002760	Solanum pennellii	motif	MIKC_MADS
Sopen03g032010	regulates	Sopen06g002760	Solanum pennellii	motif	Dof
Sopen06g020070	regulates	Sopen06g002760	Solanum pennellii	motif	MIKC_MADS
Sopen06g032440	regulates	Sopen06g002760	Solanum pennellii	motif	Dof
Sopen11g025790	regulates	Sopen06g002760	Solanum pennellii	motif	Dof
Sopen01g041000	regulates	Sopen02g025620	Solanum pennellii	motif	bZIP
Sopen01g048410	regulates	Sopen02g025620	Solanum pennellii	motif	GATA
Sopen04g034520	regulates	Sopen02g025620	Solanum pennellii	motif	ERF
Sopen05g032000	regulates	Sopen02g025620	Solanum pennellii	motif	GATA
Sopen05g032880	regulates	Sopen02g025620	Solanum pennellii	motif	GATA
Sopen06g016040	regulates	Sopen02g025620	Solanum pennellii	motif	ERF
Sopen09g033040	regulates	Sopen02g025620	Solanum pennellii	motif	MYB
Sopen10g018050	regulates	Sopen02g025620	Solanum pennellii	motif	GATA
Sopen11g025590	regulates	Sopen02g025620	Solanum pennellii	motif	MYB
Sopen01g037760	regulates	Sopen09g001280	Solanum pennellii	motif	MIKC_MADS
Sopen04g031570	regulates	Sopen09g001280	Solanum pennellii	motif	C2H2
Sopen05g033950	regulates	Sopen09g001280	Solanum pennellii	motif	C2H2
Sopen06g031550	regulates	Sopen09g001280	Solanum pennellii	motif	GATA
Sopen08g020340	regulates	Sopen09g001280	Solanum pennellii	motif	GATA
Sopen08g025690	regulates	Sopen09g001280	Solanum pennellii	motif	NAC
Sopen01g037760	regulates	Sopen02g017380	Solanum pennellii	motif	MIKC_MADS
Sopen02g025760	regulates	Sopen02g017380	Solanum pennellii	motif	TALE
Sopen03g026460	regulates	Sopen02g017380	Solanum pennellii	motif	MYB
Sopen04g003530	regulates	Sopen02g017380	Solanum pennellii	motif	BBR-BPC
Sopen04g034790	regulates	Sopen02g017380	Solanum pennellii	motif	BBR-BPC
Sopen09g006600	regulates	Sopen02g017380	Solanum pennellii	motif	MYB
Sopen10g028790	regulates	Sopen02g017380	Solanum pennellii	motif	C2H2
Sopen11g006040	regulates	Sopen02g017380	Solanum pennellii	motif	GRAS
Sopen01g004640	regulates	Sopen09g031500	Solanum pennellii	motif	EIL
Sopen01g031400	regulates	Sopen09g031500	Solanum pennellii	motif	MYB
Sopen01g037760	regulates	Sopen09g031500	Solanum pennellii	motif	MIKC_MADS
Sopen01g044790	regulates	Sopen09g031500	Solanum pennellii	motif	MYB
Sopen02g030250	regulates	Sopen09g031500	Solanum pennellii	motif	C2H2
Sopen02g033980	regulates	Sopen09g031500	Solanum pennellii	motif	MYB
Sopen03g028770	regulates	Sopen09g031500	Solanum pennellii	motif	C2H2
Sopen03g040470	regulates	Sopen09g031500	Solanum pennellii	motif	C2H2
Sopen04g003530	regulates	Sopen09g031500	Solanum pennellii	motif	BBR-BPC
Sopen04g003650	regulates	Sopen09g031500	Solanum pennellii	motif	C2H2
Sopen04g025190	regulates	Sopen09g031500	Solanum pennellii	motif	MYB
Sopen04g031570	regulates	Sopen09g031500	Solanum pennellii	motif	C2H2
Sopen04g034610	regulates	Sopen09g031500	Solanum pennellii	motif	MIKC_MADS
Sopen04g034790	regulates	Sopen09g031500	Solanum pennellii	motif	BBR-BPC
Sopen05g009380	regulates	Sopen09g031500	Solanum pennellii	motif	MYB
Sopen05g011300	regulates	Sopen09g031500	Solanum pennellii	motif	MIKC_MADS
Sopen05g028160	regulates	Sopen09g031500	Solanum pennellii	motif	MYB
Sopen05g030000	regulates	Sopen09g031500	Solanum pennellii	motif	MYB
Sopen05g033950	regulates	Sopen09g031500	Solanum pennellii	motif	C2H2
Sopen06g020070	regulates	Sopen09g031500	Solanum pennellii	motif	MIKC_MADS
Sopen07g027520	regulates	Sopen09g031500	Solanum pennellii	motif	C2H2
Sopen08g028510	regulates	Sopen09g031500	Solanum pennellii	motif	TCP
Sopen10g001230	regulates	Sopen09g031500	Solanum pennellii	motif	MYB
Sopen10g025190	regulates	Sopen09g031500	Solanum pennellii	motif	MYB
Sopen10g033630	regulates	Sopen09g031500	Solanum pennellii	motif	C2H2
Sopen11g005820	regulates	Sopen09g031500	Solanum pennellii	motif	MYB
Sopen11g006040	regulates	Sopen09g031500	Solanum pennellii	motif	GRAS
Sopen04g027110	regulates	Sopen01g042200	Solanum pennellii	motif	bZIP
Sopen06g011000	regulates	Sopen01g042200	Solanum pennellii	motif	NAC
Sopen06g018410	regulates	Sopen01g042200	Solanum pennellii	motif	bZIP
Sopen06g022890	regulates	Sopen01g042200	Solanum pennellii	motif	NAC
Sopen08g025690	regulates	Sopen01g042200	Solanum pennellii	motif	NAC
Sopen09g027960	regulates	Sopen01g042200	Solanum pennellii	motif	LBD
Sopen10g032000	regulates	Sopen01g042200	Solanum pennellii	motif	MYB
Sopen11g027460	regulates	Sopen01g042200	Solanum pennellii	motif	NAC
Sopen02g028730	regulates	Sopen07g026060	Solanum pennellii	motif	WOX
Sopen03g032010	regulates	Sopen07g026060	Solanum pennellii	motif	Dof
Sopen09g031360	regulates	Sopen07g026060	Solanum pennellii	motif	CPP
Sopen01g037760	regulates	Sopen05g033660	Solanum pennellii	motif	MIKC_MADS
Sopen02g025760	regulates	Sopen05g033660	Solanum pennellii	motif	TALE
Sopen03g028900	regulates	Sopen05g033660	Solanum pennellii	motif	HD-ZIP
Sopen04g003530	regulates	Sopen05g033660	Solanum pennellii	motif	BBR-BPC
Sopen04g034790	regulates	Sopen05g033660	Solanum pennellii	motif	BBR-BPC
Sopen10g028790	regulates	Sopen05g033660	Solanum pennellii	motif	C2H2
Sopen11g006040	regulates	Sopen05g033660	Solanum pennellii	motif	GRAS
