regulador	regulon	especiaA	especieB	V5	V6	FT
Sopen05g026690	Solyc05g043430	TomatoPennelli	tomato	13270	1	none
Solyc01g103570	Sopen01g045920	tomato	TomatoPennelli	16279	1	none
Sopen07g026110	Solyc07g052480	TomatoPennelli	tomato	16838	1	none
Solyc06g084440	Sopen06g035830	tomato	TomatoPennelli	16856	1	none
Sopen01g001280	Solyc01g005250	TomatoPennelli	tomato	16955	1	none
Solyc12g005150	Sopen12g001140	tomato	TomatoPennelli	17058	2	none
Solyc01g104510	Sopen01g047010	tomato	TomatoPennelli	17473	1	none
Sopen05g005820	Solyc05g010010	TomatoPennelli	tomato	17512	1	none
Sopen01g054030	Solyc01g111980	TomatoPennelli	tomato	17870	1	none
Sopen03g041110	Solyc03g122340	TomatoPennelli	tomato	17941	1	none
Solyc01g066430	Sopen01g028080	tomato	TomatoPennelli	17966	1	none
Solyc06g071770	Sopen06g028060	tomato	TomatoPennelli	18200	1	none
Solyc01g104080	Sopen01g046490	tomato	TomatoPennelli	18229	2	none
Sopen01g049970	Solyc01g107800	TomatoPennelli	tomato	18293	1	none
Sopen03g022380	Solyc03g082620	TomatoPennelli	tomato	18524	1	none
Sopen02g025340	Solyc02g080630	TomatoPennelli	tomato	18558	1	none
Solyc06g053480	Sopen06g018560	tomato	TomatoPennelli	18839	2	none
Sopen01g049540	Solyc01g107290	TomatoPennelli	tomato	18986	1	none
Sopen01g044690	Solyc01g101240	TomatoPennelli	tomato	19012	1	none
Sopen04g030140	Solyc04g076380	TomatoPennelli	tomato	20665	1	none
Sopen10g013470	Solyc10g044780	TomatoPennelli	tomato	20832	1	none
Sopen11g002700	Solyc11g006770	TomatoPennelli	tomato	21093	1	none
Sopen04g032520	Solyc04g078920	TomatoPennelli	tomato	21151	1	none
Sopen11g027270	Solyc11g068550	TomatoPennelli	tomato	21194	1	none
Solyc08g080410	Sopen08g028740	tomato	TomatoPennelli	21689	1	none
Solyc04g010090	Sopen04g005230	tomato	TomatoPennelli	21694	1	none
Solyc10g081650	Sopen10g032160	tomato	TomatoPennelli	21747	1	none
Sopen10g027280	Solyc10g074790	TomatoPennelli	tomato	21861	1	none
Solyc02g089610	Sopen02g034330	tomato	TomatoPennelli	22032	1	none
Sopen05g005340	Solyc05g009530	TomatoPennelli	tomato	22123	1	none
Solyc05g015390	Sopen05g010680	tomato	TomatoPennelli	22153	1	none
Solyc01g108910	Sopen01g051110	tomato	TomatoPennelli	22167	1	none
Solyc05g053040	Sopen05g031560	tomato	TomatoPennelli	22370	1	none
Sopen12g033460	Solyc12g098710	TomatoPennelli	tomato	22483	1	none
Solyc12g098710	Sopen12g033460	tomato	TomatoPennelli	22483	1	none
Sopen08g018910	Solyc08g065350	TomatoPennelli	tomato	22623	1	none
Sopen06g035780	Solyc06g084390	TomatoPennelli	tomato	23147	2	none
Solyc03g117250	Sopen03g036140	tomato	TomatoPennelli	23180	1	none
Solyc08g077530	Sopen08g026110	tomato	TomatoPennelli	23285	1	none
Solyc01g108280	Sopen01g050500	tomato	TomatoPennelli	23440	1	none
Sopen10g004660	Solyc10g008870	TomatoPennelli	tomato	23676	2	none
Sopen06g028810	Solyc03g097970	TomatoPennelli	tomato	23718	*	none
Sopen03g028680	Solyc03g097970	TomatoPennelli	tomato	23718	1	none
Solyc01g105710	Sopen01g048150	tomato	TomatoPennelli	23729	2	none
Sopen04g025060	Solyc04g055200	TomatoPennelli	tomato	24278	2	none
Sopen03g028510	Solyc03g097750	TomatoPennelli	tomato	24721	1	none
Sopen12g030800	Solyc12g088900	TomatoPennelli	tomato	24974	1	none
Sopen11g030830	Solyc11g073200	TomatoPennelli	tomato	25057	1	none
Sopen11g003810	Solyc11g007940	TomatoPennelli	tomato	25256	1	none
Sopen02g004390	Solyc04g009230	TomatoPennelli	tomato	25471	2	none
Solyc04g014730	Sopen04g006840	tomato	TomatoPennelli	25498	1	none
Sopen10g019880	Solyc10g049850	TomatoPennelli	tomato	25592	1	none
Sopen10g019880	Solyc10g049850	TomatoPennelli	tomato	25592	1	none
Solyc10g049850	Sopen10g019880	tomato	TomatoPennelli	25592	1	none
Solyc10g049850	Sopen10g019880	tomato	TomatoPennelli	25592	1	none
Sopen02g018190	Solyc02g069090	TomatoPennelli	tomato	25632	1	none
Solyc04g024340	Sopen04g010310	tomato	TomatoPennelli	25728	1	none
Solyc06g074220	Sopen06g030640	tomato	TomatoPennelli	25835	1	none
Solyc06g074940	Sopen06g031340	tomato	TomatoPennelli	25844	1	none
Sopen02g013000	Solyc02g062040	TomatoPennelli	tomato	26067	1	none
Solyc06g084130	Sopen06g035510	tomato	TomatoPennelli	26079	1	none
Solyc01g097510	Sopen01g041170	tomato	TomatoPennelli	26140	1	none
Solyc11g011380	Sopen11g006180	tomato	TomatoPennelli	26314	2	none
Sopen10g003520	Solyc10g007600	TomatoPennelli	tomato	26362	1	none
Sopen01g041960	Solyc01g098390	TomatoPennelli	tomato	26400	2	none
Solyc04g050920	Sopen04g022040	tomato	TomatoPennelli	26451	1	none
Sopen03g031780	Solyc03g112700	TomatoPennelli	tomato	26515	1	none
Sopen08g024080	Solyc08g075450	TomatoPennelli	tomato	26585	1	none
Solyc08g078250	Sopen08g026760	tomato	TomatoPennelli	26612	1	none
Solyc09g047930	Sopen09g016040	tomato	TomatoPennelli	26627	1	none
Solyc09g074320	Sopen09g029160	tomato	TomatoPennelli	26647	1	none
Sopen06g003590	Solyc06g008820	TomatoPennelli	tomato	26650	1	none
Sopen06g004370	Solyc06g009750	TomatoPennelli	tomato	26695	1	none
Solyc11g011910	Sopen11g006730	tomato	TomatoPennelli	26730	1	none
Sopen11g005210	Solyc11g010430	TomatoPennelli	tomato	26732	1	none
Solyc01g104220	Sopen01g046660	tomato	TomatoPennelli	26774	1	none
Sopen07g028430	Solyc07g054490	TomatoPennelli	tomato	27055	1	none
Solyc01g108270	Sopen01g050490	tomato	TomatoPennelli	27063	1	none
Sopen03g030190	Solyc03g111010	TomatoPennelli	tomato	27072	1	none
Solyc03g111010	Sopen05g009560	tomato	TomatoPennelli	27072	*	none
Sopen03g030190	Solyc03g111010	TomatoPennelli	tomato	27072	1	none
Sopen12g007250	Solyc12g014400	TomatoPennelli	tomato	27341	1	none
Solyc07g006280	Sopen07g002370	tomato	TomatoPennelli	27373	1	none
Sopen10g032860	Solyc10g083360	TomatoPennelli	tomato	27451	1	none
