regulador	regulon	especiaA	especieB	V5	V6	FT
Solyc03g013430	Sopen12g018500	tomato	TomatoPennelli	172	0	none
Sopen07g030100	Solyc07g061780	TomatoPennelli	tomato	15834	1	none
Sopen02g029490	Solyc02g084820	TomatoPennelli	tomato	20335	1	none
Solyc02g087760	Sopen02g032490	tomato	TomatoPennelli	20667	1	none
Solyc11g011610	Sopen11g006460	tomato	TomatoPennelli	22337	1	none
Solyc06g008620	Sopen06g003390	tomato	TomatoPennelli	24474	2	none
Sopen09g034400	Solyc09g091470	TomatoPennelli	tomato	24628	1	none
Solyc01g111150	Sopen01g053210	tomato	TomatoPennelli	24733	1	none
Sopen04g034920	Solyc04g081300	TomatoPennelli	tomato	24809	1	none
Solyc01g099140	Sopen01g042700	tomato	TomatoPennelli	25060	1	none
Solyc01g099140	Sopen01g042700	tomato	TomatoPennelli	25060	1	none
Solyc12g049290	Sopen12g023770	tomato	TomatoPennelli	25362	1	none
Solyc05g015530	Sopen12g034980	tomato	TomatoPennelli	25553	1	none
Solyc08g006900	Sopen08g002860	tomato	TomatoPennelli	25775	1	none
Sopen04g006780	Solyc04g014680	TomatoPennelli	tomato	26269	1	none
Sopen03g028040	Solyc03g097270	TomatoPennelli	tomato	26290	1	none
Solyc03g097270	Sopen03g028040	tomato	TomatoPennelli	26290	1	none
Sopen12g020550	Solyc12g040790	TomatoPennelli	tomato	26334	2	none
Sopen12g007040	Solyc12g013690	TomatoPennelli	tomato	26763	1	none
Solyc10g083630	Sopen10g033100	tomato	TomatoPennelli	26764	1	none
Solyc02g082700	Sopen02g027450	tomato	TomatoPennelli	26961	1	none
Sopen12g023070	Solyc12g044630	TomatoPennelli	tomato	27016	2	none
Sopen01g040250	Solyc01g096520	TomatoPennelli	tomato	27088	2	none
Sopen08g022710	Solyc08g069060	TomatoPennelli	tomato	27406	2	none
Sopen05g033890	Solyc05g055440	TomatoPennelli	tomato	27519	1	none
Sopen08g028950	Solyc08g080640	TomatoPennelli	tomato	27618	2	none
Sopen01g043560	Solyc01g100040	TomatoPennelli	tomato	27681	2	none
Solyc09g075360	Sopen09g030130	tomato	TomatoPennelli	27700	1	none
Solyc07g049300	Sopen07g024630	tomato	TomatoPennelli	27700	2	none
