TF_ID	Gene_ID	Family
Sopen04g002090.1	Sopen04g002090	RAV
Sopen05g005620.1	Sopen05g005620	RAV
Sopen03g022900.1	Sopen03g022900	RAV
Sopen03g022900.2	Sopen03g022900	RAV
Sopen00g007720.1	Sopen00g007720	Trihelix
Sopen00g008050.1	Sopen00g008050	bHLH
Sopen00g008690.1	Sopen00g008690	NF-YB
Sopen00g009860.1	Sopen00g009860	bHLH
Sopen00g011530.1	Sopen00g011530	Dof
Sopen00g012080.1	Sopen00g012080	FAR1
Sopen00g013410.1	Sopen00g013410	bHLH
Sopen00g013520.1	Sopen00g013520	bHLH
Sopen00g013830.1	Sopen00g013830	NAC
Sopen01g002640.1	Sopen01g002640	EIL
Sopen01g002920.1	Sopen01g002920	NF-YA
Sopen01g003300.1	Sopen01g003300	E2F/DP
Sopen01g003750.1	Sopen01g003750	TCP
Sopen01g004020.1	Sopen01g004020	NF-YA
Sopen01g004250.1	Sopen01g004250	bZIP
Sopen01g004250.2	Sopen01g004250	bZIP
Sopen01g004400.1	Sopen01g004400	GRAS
Sopen01g004470.1	Sopen01g004470	bZIP
Sopen01g004640.1	Sopen01g004640	EIL
Sopen01g005060.1	Sopen01g005060	bZIP
Sopen01g005390.1	Sopen01g005390	NAC
Sopen01g005670.1	Sopen01g005670	bHLH
Sopen01g005850.1	Sopen01g005850	YABBY
Sopen01g007840.1	Sopen01g007840	TCP
Sopen01g009190.1	Sopen01g009190	EIL
Sopen01g009190.2	Sopen01g009190	EIL
Sopen01g009900.1	Sopen01g009900	bHLH
Sopen01g010070.1	Sopen01g010070	bHLH
Sopen01g010120.1	Sopen01g010120	bHLH
Sopen01g010140.1	Sopen01g010140	ZF-HD
Sopen01g016580.1	Sopen01g016580	NAC
Sopen01g018650.1	Sopen01g018650	LBD
Sopen01g021880.1	Sopen01g021880	CAMTA
Sopen01g021920.1	Sopen01g021920	bHLH
Sopen01g024140.1	Sopen01g024140	WRKY
Sopen01g024140.2	Sopen01g024140	WRKY
Sopen01g026100.1	Sopen01g026100	GRAS
Sopen01g026110.1	Sopen01g026110	GRAS
Sopen01g026290.1	Sopen01g026290	CAMTA
Sopen01g026800.1	Sopen01g026800	GATA
Sopen01g028840.1	Sopen01g028840	NF-YB
Sopen01g029220.1	Sopen01g029220	bHLH
Sopen01g030050.1	Sopen01g030050	SBP
Sopen01g030830.1	Sopen01g030830	SBP
Sopen01g030830.2	Sopen01g030830	SBP
Sopen01g031040.1	Sopen01g031040	WRKY
Sopen01g031140.1	Sopen01g031140	WRKY
Sopen01g031140.2	Sopen01g031140	WRKY
Sopen01g031140.3	Sopen01g031140	WRKY
Sopen01g031160.1	Sopen01g031160	GRAS
Sopen01g031170.1	Sopen01g031170	GRAS
Sopen01g031250.1	Sopen01g031250	bZIP
Sopen01g031630.1	Sopen01g031630	NF-YC
Sopen01g031630.2	Sopen01g031630	NF-YC
Sopen01g031830.1	Sopen01g031830	bHLH
Sopen01g032700.1	Sopen01g032700	bHLH
Sopen01g032710.1	Sopen01g032710	bHLH
Sopen01g033890.1	Sopen01g033890	bHLH
Sopen01g034290.1	Sopen01g034290	NF-YA
Sopen01g034290.2	Sopen01g034290	NF-YA
Sopen01g035660.1	Sopen01g035660	Trihelix
Sopen01g035820.1	Sopen01g035820	WRKY
Sopen01g036460.1	Sopen01g036460	SBP
Sopen01g036490.1	Sopen01g036490	GATA
Sopen01g036520.1	Sopen01g036520	bHLH
Sopen01g036680.1	Sopen01g036680	GRAS
Sopen01g036740.1	Sopen01g036740	YABBY
Sopen01g037180.1	Sopen01g037180	LBD
Sopen01g037680.1	Sopen01g037680	TCP
Sopen01g038300.1	Sopen01g038300	NAC
Sopen01g038390.1	Sopen01g038390	BES1
Sopen01g038390.2	Sopen01g038390	BES1
Sopen01g038890.1	Sopen01g038890	WRKY
Sopen01g039210.1	Sopen01g039210	bZIP
Sopen01g039380.1	Sopen01g039380	WRKY
Sopen01g039770.1	Sopen01g039770	bHLH
Sopen01g039850.1	Sopen01g039850	Dof
Sopen01g040200.1	Sopen01g040200	Trihelix
Sopen01g040420.1	Sopen01g040420	NF-YC
Sopen01g040420.2	Sopen01g040420	NF-YC
Sopen01g040510.1	Sopen01g040510	EIL
Sopen01g040560.1	Sopen01g040560	FAR1
Sopen01g041000.1	Sopen01g041000	bZIP
Sopen01g041490.1	Sopen01g041490	GeBP
Sopen01g041800.1	Sopen01g041800	LBD
Sopen01g042870.1	Sopen01g042870	NF-YB
Sopen01g043700.1	Sopen01g043700	GRAS
Sopen01g043700.2	Sopen01g043700	GRAS
Sopen01g043980.1	Sopen01g043980	bZIP
Sopen01g044750.1	Sopen01g044750	bHLH
Sopen01g045160.1	Sopen01g045160	NAC
Sopen01g045390.1	Sopen01g045390	ZF-HD
Sopen01g045590.1	Sopen01g045590	FAR1
Sopen01g045590.2	Sopen01g045590	FAR1
Sopen01g046180.1	Sopen01g046180	TCP
Sopen01g046210.1	Sopen01g046210	ZF-HD
Sopen01g046220.1	Sopen01g046220	ZF-HD
Sopen01g046250.1	Sopen01g046250	bZIP
Sopen01g046280.1	Sopen01g046280	bZIP
Sopen01g046870.1	Sopen01g046870	GATA
Sopen01g046890.1	Sopen01g046890	GATA
Sopen01g046900.1	Sopen01g046900	GATA
Sopen01g046900.2	Sopen01g046900	GATA
Sopen01g047060.1	Sopen01g047060	WRKY
Sopen01g047160.1	Sopen01g047160	bZIP
Sopen01g047160.2	Sopen01g047160	bZIP
Sopen01g047280.1	Sopen01g047280	Trihelix
Sopen01g047410.1	Sopen01g047410	NAC
Sopen01g047740.1	Sopen01g047740	CAMTA
Sopen01g047740.2	Sopen01g047740	CAMTA
Sopen01g047740.3	Sopen01g047740	CAMTA
Sopen01g048410.1	Sopen01g048410	GATA
Sopen01g048420.1	Sopen01g048420	GATA
Sopen01g048420.2	Sopen01g048420	GATA
Sopen01g048830.1	Sopen01g048830	bHLH
Sopen01g049400.1	Sopen01g049400	bHLH
Sopen01g049450.1	Sopen01g049450	LBD
Sopen01g050130.1	Sopen01g050130	bHLH
Sopen01g050140.1	Sopen01g050140	bHLH
Sopen01g050150.1	Sopen01g050150	bHLH
Sopen01g050170.1	Sopen01g050170	bHLH
Sopen01g050310.1	Sopen01g050310	bZIP
Sopen01g050640.2	Sopen01g050640	GATA
Sopen01g051890.1	Sopen01g051890	bHLH
Sopen01g052070.1	Sopen01g052070	bZIP
Sopen01g052300.1	Sopen01g052300	SRS
