regulador	regulon	especiaA	especieB	V5	V6	FT
Sopen02g020230	Solyc02g071150	TomatoPennelli	tomato	14449	1	none
Sopen06g034640	Solyc06g083260	TomatoPennelli	tomato	15709	1	none
Sopen09g005250	Solyc09g010520	TomatoPennelli	tomato	17554	1	none
Sopen10g031200	Solyc10g080660	TomatoPennelli	tomato	17846	2	none
Solyc01g108150	Sopen01g050380	tomato	TomatoPennelli	18308	1	none
Solyc01g108620	Sopen01g050840	tomato	TomatoPennelli	18765	1	none
Solyc02g079960	Sopen02g024710	tomato	TomatoPennelli	19128	1	none
Solyc11g066940	Sopen11g026660	tomato	TomatoPennelli	19421	1	none
Solyc06g043140	Sopen02g011760	tomato	TomatoPennelli	19680	1	none
Sopen02g011760	Solyc02g036380	TomatoPennelli	tomato	19680	1	none
Sopen07g004710	Solyc07g008770	TomatoPennelli	tomato	20061	1	none
Solyc05g008440	Sopen05g004270	tomato	TomatoPennelli	20216	0	none
Sopen02g019760	Solyc02g070680	TomatoPennelli	tomato	20742	1	none
Solyc01g098090	Sopen01g041660	tomato	TomatoPennelli	21382	1	none
Sopen02g024640	Solyc02g079880	TomatoPennelli	tomato	21599	1	none
Solyc02g079880	Sopen02g024640	tomato	TomatoPennelli	21599	1	none
Solyc02g062640	Sopen02g013670	tomato	TomatoPennelli	21631	1	none
Sopen11g026670	Solyc11g066950	TomatoPennelli	tomato	22069	1	none
Sopen01g048910	Solyc01g106560	TomatoPennelli	tomato	22633	1	none
Solyc07g053310	Sopen07g027270	tomato	TomatoPennelli	22648	1	none
Solyc05g048810	Sopen05g028140	tomato	TomatoPennelli	23122	1	none
Solyc03g031530	Sopen03g005420	tomato	TomatoPennelli	23254	1	none
Sopen10g031620	Solyc10g081120	TomatoPennelli	tomato	23372	2	none
Sopen06g018530	Solyc06g053450	TomatoPennelli	tomato	23749	1	none
Solyc01g080250	Sopen01g032030	tomato	TomatoPennelli	24243	1	none
Sopen12g002130	Solyc12g006180	TomatoPennelli	tomato	24307	1	none
Solyc06g048820	Sopen06g015110	tomato	TomatoPennelli	24330	1	none
Solyc11g008450	Sopen11g004240	tomato	TomatoPennelli	24654	1	none
Solyc06g073600	Sopen06g029990	tomato	TomatoPennelli	25063	1	none
Sopen05g011160	Solyc05g015710	TomatoPennelli	tomato	25355	1	none
Sopen09g030030	Solyc09g075210	TomatoPennelli	tomato	25700	1	none
Sopen06g021430	Solyc06g061230	TomatoPennelli	tomato	26127	2	none
Sopen11g028790	Solyc11g070120	TomatoPennelli	tomato	26134	1	none
Sopen02g038310	Solyc02g093680	TomatoPennelli	tomato	26317	2	none
Solyc04g026030	Sopen04g013830	tomato	TomatoPennelli	26582	2	none
Sopen03g038330	Solyc03g119480	TomatoPennelli	tomato	26596	1	none
Solyc03g119520	Sopen03g038350	tomato	TomatoPennelli	26596	1	none
Sopen04g003110	Solyc04g007970	TomatoPennelli	tomato	26664	2	none
Solyc05g025510	Sopen05g019720	tomato	TomatoPennelli	26840	1	none
Solyc06g073340	Sopen06g029720	tomato	TomatoPennelli	26852	2	none
Sopen05g031150	Solyc05g052620	TomatoPennelli	tomato	27094	1	none
Solyc05g014230	Sopen05g009250	tomato	TomatoPennelli	27109	2	none
Solyc10g005730	Sopen10g001700	tomato	TomatoPennelli	27179	2	none
Solyc12g098690	Sopen12g033440	tomato	TomatoPennelli	27179	2	none
Sopen03g036250	Solyc03g117360	TomatoPennelli	tomato	27362	1	none
Sopen01g039440	Solyc01g095700	TomatoPennelli	tomato	27428	2	none
Sopen03g022110	Solyc03g082380	TomatoPennelli	tomato	27464	1	none
Solyc04g071140	Sopen04g027090	tomato	TomatoPennelli	27539	2	none
Sopen06g035460	Solyc06g084070	TomatoPennelli	tomato	27558	1	none
Sopen06g035460	Solyc06g084070	TomatoPennelli	tomato	27558	1	none
Sopen12g002180	Solyc12g006230	TomatoPennelli	tomato	27594	1	none
Solyc03g096080	Sopen03g026160	tomato	TomatoPennelli	27605	2	none
Solyc03g096250	Sopen03g026350	tomato	TomatoPennelli	27605	2	none
Solyc03g096130	Sopen03g026210	tomato	TomatoPennelli	27605	1	none
Solyc03g096130	Sopen03g026240	tomato	TomatoPennelli	27605	1	none
Solyc03g096130	Sopen03g026270	tomato	TomatoPennelli	27605	1	none
Solyc03g096130	Sopen03g026200	tomato	TomatoPennelli	27605	1	none
Sopen03g021480	Solyc03g078570	TomatoPennelli	tomato	27666	1	none
Sopen02g024940	Solyc02g080200	TomatoPennelli	tomato	27702	1	none
Sopen02g024920	Solyc02g080200	TomatoPennelli	tomato	27702	1	none
Sopen02g024930	Solyc02g080200	TomatoPennelli	tomato	27702	1	none
Solyc02g080220	Sopen02g024940	tomato	TomatoPennelli	27702	1	none
Solyc02g080220	Sopen02g024920	tomato	TomatoPennelli	27702	1	none
Sopen02g024930	Solyc02g080220	TomatoPennelli	tomato	27702	1	none
Solyc01g005760	Sopen01g001720	tomato	TomatoPennelli	27707	0	none
Sopen09g031330	Solyc09g082470	TomatoPennelli	tomato	27717	1	none
Sopen09g031330	Solyc09g082470	TomatoPennelli	tomato	27717	2	none
Solyc12g042600	Sopen12g021740	tomato	TomatoPennelli	27756	1	none
