regulador	V2	regulado	especie	V5	FT
Sopen01g036520	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen01g037760	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen01g039770	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen02g025760	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen02g037840	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen03g001990	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen03g030710	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen04g003530	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen04g034790	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen04g036100	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen07g001380	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen09g001040	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen09g021180	regulates	Sopen04g004570	Solanum pennellii	motif	none
Sopen11g006040	regulates	Sopen04g004570	Solanum pennellii	motif	none
